gamma,rate,seed,acc,mse_our,mse_naive,graph
0.3,33,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.3,33,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.3,34,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.3,34,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.3,34,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.3,34,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.3,34,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.3,35,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.3,35,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.3,35,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.3,35,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.3,35,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.3,36,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.3,36,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.3,36,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.3,36,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.3,36,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.3,37,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.3,37,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.3,37,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.3,37,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.3,37,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.3,38,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.3,38,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.3,38,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.3,38,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.3,38,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.3,39,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.3,39,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.3,39,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.3,39,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.3,39,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.3,40,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.3,40,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.3,40,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.3,40,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.3,40,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.4,30,0,0.96,0.2,0.38316338620097423,WS_N_100_K_30_P_0.2
0.4,30,1,0.98,0.13675376235464223,0.37582059306358395,WS_N_100_K_30_P_0.2
0.4,30,2,0.97,0.16950070523122132,0.37998546622406654,WS_N_100_K_30_P_0.2
0.4,30,3,0.98,0.1414213562373095,0.37805330300488227,WS_N_100_K_30_P_0.2
0.4,30,4,0.97,0.16924677505942107,0.3802958063213733,WS_N_100_K_30_P_0.2
0.4,31,0,0.98,0.1366234875674421,0.3762713127682686,WS_N_100_K_30_P_0.2
0.4,31,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
0.4,31,2,0.97,0.1612599027736541,0.3762222566369005,WS_N_100_K_30_P_0.2
0.4,31,3,0.95,0.21786796732770952,0.38534483784012197,WS_N_100_K_30_P_0.2
0.4,31,4,0.99,0.1,0.3747283325488726,WS_N_100_K_30_P_0.2
0.4,32,0,1.0,0.0,0.3705812933061117,WS_N_100_K_30_P_0.2
0.4,32,1,0.97,0.17320508075688773,0.38171416495776705,WS_N_100_K_30_P_0.2
0.4,32,2,1.0,0.0,0.369766805958142,WS_N_100_K_30_P_0.2
0.4,32,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.4,32,4,0.98,0.13692175347562308,0.3774789456859315,WS_N_100_K_30_P_0.2
0.4,33,0,0.99,0.1,0.37447793093169324,WS_N_100_K_30_P_0.2
0.4,33,1,0.98,0.1414213562373095,0.3779117130616492,WS_N_100_K_30_P_0.2
0.4,33,2,0.98,0.13672377958971724,0.37589126219396596,WS_N_100_K_30_P_0.2
0.4,33,3,1.0,0.0,0.3699946947004102,WS_N_100_K_30_P_0.2
0.4,33,4,1.0,0.0,0.3705351848540952,WS_N_100_K_30_P_0.2
0.4,34,0,0.98,0.1414213562373095,0.37607674849009476,WS_N_100_K_30_P_0.2
0.4,34,1,1.0,0.0,0.36956826666991494,WS_N_100_K_30_P_0.2
