gamma,rate,seed,acc,mse_our,mse_naive,graph
0.1,18,4,0.83,0.3514333640113839,0.3893762795408037,WS_N_100_K_30_P_0.2
0.1,19,0,0.86,0.32805242069820056,0.391726777728068,WS_N_100_K_30_P_0.2
0.1,19,1,0.93,0.2382325438570823,0.38718250818548805,WS_N_100_K_30_P_0.2
0.1,19,2,0.92,0.26446014290751596,0.3916580964313553,WS_N_100_K_30_P_0.2
0.1,19,3,0.86,0.32735522321511457,0.3945143992552815,WS_N_100_K_30_P_0.2
0.1,19,4,0.86,0.32830516799435583,0.3956715184156496,WS_N_100_K_30_P_0.2
0.1,20,0,0.94,0.23395879393630595,0.3853769528794169,WS_N_100_K_30_P_0.2
0.1,20,1,0.91,0.2850945332948079,0.3963653840222894,WS_N_100_K_30_P_0.2
0.1,20,2,0.93,0.2445231535889958,0.38588596749929116,WS_N_100_K_30_P_0.2
0.1,20,3,0.92,0.26644375446263824,0.38981689701284433,WS_N_100_K_30_P_0.2
0.1,20,4,0.96,0.1906960224076752,0.38305121423097516,WS_N_100_K_30_P_0.2
0.1,21,0,0.92,0.25669071422982126,0.3912935008331958,WS_N_100_K_30_P_0.2
0.1,21,1,0.94,0.23384373504359451,0.3856028760462634,WS_N_100_K_30_P_0.2
0.1,21,2,0.97,0.16924677505942107,0.37759050093688756,WS_N_100_K_30_P_0.2
0.1,21,3,0.95,0.21476743337016357,0.3836697124427268,WS_N_100_K_30_P_0.2
0.1,21,4,0.92,0.26365983504483875,0.3896982507463166,WS_N_100_K_30_P_0.2
0.1,22,0,0.98,0.1414213562373095,0.3785901411136196,WS_N_100_K_30_P_0.2
0.1,22,1,0.98,0.1414213562373095,0.3751631250483875,WS_N_100_K_30_P_0.2
0.1,22,2,0.96,0.2,0.3841657230959503,WS_N_100_K_30_P_0.2
0.1,22,3,0.98,0.1414213562373095,0.37594914742736535,WS_N_100_K_30_P_0.2
0.1,22,4,0.97,0.16914729281640367,0.37857229470355097,WS_N_100_K_30_P_0.2
0.1,23,0,0.99,0.1,0.37416194570679834,WS_N_100_K_30_P_0.2
0.1,23,1,0.97,0.17320508075688773,0.3791696768223578,WS_N_100_K_30_P_0.2
